Title,Summary,Enrollment,Stars,Rating,Link,Category,count_students,course_length,course_rating,days_since_released
Take-off: Master Data Science with Python in 10 Hours | 2020,"Learn Python, its libraries for Data Science (Pandas,Matplotlib,Seaborn) and data pre-processing for Machine Learning!",19783,4.4,188,https://www.udemy.com/course/python-take-off-with-data-science/,Tech,20396.0,10.5,4.3,1270.0
Statistics Masterclass for Data Science and Data Analytics,"Build a Solid Foundation of Statistics for Data Science, Learn Probability, Distributions, Hypothesis Testing, and More!",943,4.2,187,https://www.udemy.com/course/statistics-for-data-science-and-analytics-masterclass/,Tech,1068.0,5.0,3.8,509.0
VSD - Machine Intelligence in EDA/CAD,Listen from CEO/architect himself on Machine learning,674,4.3,186,https://www.udemy.com/course/vsd-machine-intelligence-in-eda-cad/,Tech,736.0,4.0,3.9,18894.0
Machine Learning for ABSOLUTE beginners! [April 2020 Edition,Learn and understand Machine Learning with hands on lectures from scratch.,11157,1.5,184,https://www.udemy.com/course/machine-learning-for-absolute-beginners-april-2020-edition/,Tech,11158.0,33.0,2.3,1239.0
Introduction to Machine Learning in R,"Machine learning, neural networks, regression, SVM, naive bayes classifier, bagging, boosting, random forest classifier",1257,4.4,183,https://www.udemy.com/course/machine-learning-in-r/,Tech,1257.0,,4.4,1415.0
Artificial Intelligence (AI) in Software Testing,The Future of Automated Testing with Machine Learning - Implementing Artificial Intelligence (AI) in Test Automation,625,3.3,183,https://www.udemy.com/course/artificial-intelligence-ai-in-software-testing/,Tech,763.0,1.5,3.5,637.0
Build and train a data model to recognize objects in images!,"Make an image recognition model with TensorFlow & Python predictive modeling, regression analysis & machine learning!",1326,4.3,177,https://www.udemy.com/course/pythondatascience/,Tech,1395.0,8.5,4.1,855.0
Learn Python and Artificial Intelligence (AI) Coding Tools,Program Faster In Python And Other Languages Without Code with Artificial Intelligence Programming Tools,25752,3.8,176,https://www.udemy.com/course/learn-python-and-artificial-intelligence-ai-coding-tools/,Tech,37165.0,1.5,2.6,1083.0
"Python, Machine Learning and Algorithmic Trading Masterclass",Are you interested in how people successfully trade and invest? Learn how to break in and dominate the world of finance!,1868,4.3,175,https://www.udemy.com/course/python-machine-learning-and-algorithmic-trading-masterclass/,Tech,2510.0,20.0,3.9,862.0
Android P with Machine Learning apps - 26+ projects in total,"Master Android development with latest tech stack like Firebase, Sqlite, Machine Leaning etc",799,4.4,173,https://www.udemy.com/course/android-p-with-machine-learning-apps/,Tech,867.0,19.5,4.5,990.0
Artificial Intelligence for beginners: Neural Networks,Neural Networks: Learn the basics of artificial intelligence & master the core concepts. Learn artificial intelligence,11538,3.3,173,https://www.udemy.com/course/neural-networks-concepts/,Tech,11543.0,1.0,3.1,923.0
Machine Learning: Build neural networks in 77 lines of code,Machine Learning and Artificial Intelligence for beginners. How to build a neural network in 77 lines of Python code.,593,4.6,171,https://www.udemy.com/course/machine-learning-build-a-neural-network-in-77-lines-of-code/,Tech,661.0,1.0,4.8,18894.0
Digishock 2.0: Machine Learning Certification (No Code),The ultimate machine learning course of 2020 taught without coding,22825,2.8,171,https://www.udemy.com/course/digishock-20-machine-learning-for-beginners-no-coding/,Tech,37621.0,1.0,4.0,1378.0
Complete Machine Learning Masterclass - Learn From Scratch,Learn Machine Learning from scratch and go from zero to hero in Machine Learning,34430,2.1,171,https://www.udemy.com/course/complete-machine-learning-masterclass-learn-from-scratch/,Tech,34430.0,,2.1,1264.0
Outlier Detection Algorithms in Data Mining and Data Science,"Outlier Detection in Data Mining, Data Science, Machine Learning, Data Analysis and Statistics using PYTHON,R and SAS",2036,4.4,171,https://www.udemy.com/course/outlier-detection-techniques/,Tech,2114.0,2.5,3.4,1286.0
Data Visualization in Python for Machine Learning Engineers,The Third Course in a Series for Mastering Python for Machine Learning Engineers,10211,4.5,169,https://www.udemy.com/course/data-visualization-in-python-for-machine-learning-engineers/,Tech,10239.0,44.0,4.5,1332.0
Practical Neural Networks & Deep Learning In R,Artificial Intelligence & Machine Learning for Practical Data Science in R,1383,4.7,168,https://www.udemy.com/course/practical-neural-networks-deep-learning-in-r/,Tech,1593.0,5.5,4.4,1016.0
Machine Learning & Training Neural Network in MATLAB,Machine Learning | Learn concepts of Machine Learning and how to train a Neural Network in MATLAB on Iris data-set.,7456,3.4,167,https://www.udemy.com/course/machine-learning-training-neural-network-in-matlab/,Tech,7475.0,1.5,2.8,516.0
Clustering & Classification With Machine Learning In Python,Harness The Power Of Machine Learning For Unsupervised & Supervised Learning In Python,2705,4.7,166,https://www.udemy.com/course/clustering-classification-with-machine-learning-in-python/,Tech,3019.0,6.0,4.5,1588.0
Build Neural Networks In Seconds Using Deep Learning Studio,Develop Keras / TensorFlow Deep Learning Models Using A GUI And Without Knowing Python Or Machine Learning,528,4.4,165,https://www.udemy.com/course/build-neural-networks-in-seconds-using-deep-learning-studio/,Tech,562.0,3.0,3.3,1474.0
Python Pandas Library Full Tutorial,Pandas Library,19227,3.9,162,https://www.udemy.com/course/python-pandas-library/,Tech,19233.0,1.0,4.1,961.0
Applied Machine Learning in R,Get the essential machine learning skills and use them in real life situations,13713,4.5,162,https://www.udemy.com/course/applied-machine-learning-in-r/,Tech,23403.0,8.0,4.3,18894.0
Data Science A-Z : Machine Learning with Python & R,By Data Scientist / IITian for Beginners . Data Science/Machine Learning with Python & R for beginners to advance,635,4.0,160,https://www.udemy.com/course/machine-learning-using-r/,Tech,665.0,12.5,3.6,1491.0
SQL for Data Analysis: Core Data Scientist’s Skills,Learn everything you need to know about SQL and Microsoft SQL Server for successful data science work,4044,4.2,157,https://www.udemy.com/course/sql-for-data-analysis/,Tech,4090.0,2.5,3.7,1180.0
Artificial Intelligence and Predictive Analysis using Python,This course is a comprehensive understanding of AI concepts and its application using Python and iPython.,62454,4.8,156,https://www.udemy.com/course/artificial-intelligence-with-python/,Tech,62454.0,,4.8,820.0
TensorFlow 101: Introduction to Deep Learning,Ready to build the future with Deep Neural Networks? Stand on the shoulder of TensorFlow and Keras for Machine Learning.,4898,3.9,156,https://www.udemy.com/course/tensorflow-101-introduction-to-deep-learning/,Tech,5114.0,4.0,3.4,2336.0
