Number;Weight (N);Stature (mm);Head circumference (mm);Shoulder breadth (mm);Hand length (mm);Hand breadth (mm);Chest circumference (mm);Waist circumference (mm);Foot length (mm);Foot breadth (mm);Gender (1M, 2F);Age (months)
1898;805;1853;584;468;193;91;998;832;286;113;1;218
1899;730;1878;566;459;199;88;906;773;275;104;1;218
1900;837;1884;571;492;208;99;1005;804;298;109;1;218
1901;1123;1944;594;509;192;96;1075;1053;301;128;1;218
1902;680;1744;568;453;183;87;917;779;260;101;1;219
1903;588;1748;550;435;203;89;904;693;267;97;1;219
1904;666;1768;571;454;187;91;985;701;262;103;1;219
1905;913;1777;580;497;189;95;1061;931;279;117;1;219
1906;936;1794;593;504;190;97;997;893;265;118;1;219
1907;879;1804;578;469;187;89;997;876;276;100;1;219
1908;725;1807;581;443;196;92;905;739;280;107;1;219
1909;583;1675;551;401;187;88;891;721;252;103;1;220
1910;881;1849;565;512;204;98;1038;842;278;117;1;220
1911;813;1687;549;438;194;93;954;962;270;106;1;221
1912;854;1805;593;504;191;90;997;822;262;106;1;221
1913;678;1727;564;455;182;88;952;725;250;107;1;222
1914;651;1728;564;449;191;85;918;740;283;102;1;223
1915;701;1789;579;460;193;99;934;761;264;104;1;223
1916;800;1866;607;487;198;90;937;805;305;120;1;223
1917;713;1763;547;449;196;95;983;760;270;105;1;224
1918;807;1864;583;464;202;97;956;854;311;108;1;224
1919;817;1793;554;478;193;92;1005;826;256;109;1;225
1920;907;1794;580;504;205;97;1001;944;282;113;1;225
1921;796;1785;560;472;201;89;975;915;281;108;1;226
1922;557;1711;542;432;192;88;885;680;268;91;1;230
1923;635;1744;575;462;189;88;860;759;265;108;1;240
1924;124;842;473;232;100;50;478;469;131;62;2;24
1925;117;842;497;237;91;46;498;485;132;60;2;24
1926;113;846;467;240;97;45;467;457;123;53;2;24
1927;114;852;481;207;94;45;459;461;134;53;2;24
1928;121;875;479;231;90;49;493;472;135;59;2;24
1929;137;890;466;259;97;49;483;503;135;56;2;24
1930;127;898;495;235;98;46;484;455;156;58;2;24
1931;122;854;477;232;99;46;491;500;131;53;2;25
1932;138;872;475;241;97;50;522;481;140;60;2;25
1933;117;876;498;244;93;45;501;468;137;60;2;25
1934;121;876;490;230;94;46;507;475;137;56;2;25
1935;105;838;472;234;91;48;444;441;119;52;2;26
1936;138;858;490;261;102;54;484;476;142;63;2;26
1937;119;875;466;241;98;54;481;462;140;57;2;26
1938;153;881;482;253;107;56;552;531;154;69;2;28
1939;108;888;488;203;98;47;463;421;136;52;2;28
1940;156;910;504;237;109;54;534;517;138;58;2;28
1941;141;916;499;248;102;50;505;482;146;61;2;28
1942;109;865;478;213;99;45;473;442;136;60;2;29
1943;140;900;495;259;100;48;518;487;148;61;2;29
1944;124;905;480;239;101;46;490;476;141;56;2;29
1945;143;907;490;252;104;51;521;505;153;61;2;29
1946;147;925;486;249;111;53;527;523;150;60;2;29
1947;116;869;469;221;96;47;478;430;128;58;2;30
1948;137;874;503;239;104;55;518;475;161;60;2;30
1949;105;875;464;193;100;48;450;445;133;54;2;30
1950;133;888;487;242;100;49;498;483;137;59;2;30
1951;116;898;497;226;102;47;486;445;147;54;2;30
1952;122;867;465;241;106;51;497;444;138;53;2;31
1953;123;869;489;240;98;47;493;487;138;55;2;31
1954;139;893;495;237;106;54;497;492;138;61;2;31
1955;120;895;452;226;102;45;463;443;135;58;2;31
1956;115;914;472;230;102;48;460;388;139;56;2;31
1957;101;866;469;232;96;46;460;438;130;50;2;32
1958;115;867;459;236;107;51;475;433;151;60;2;32
1959;131;923;465;221;100;50;470;434;145;59;2;32
1960;125;944;478;249;106;45;489;462;147;51;2;32
1961;144;899;488;251;105;47;525;498;145;63;2;33
1962;146;928;498;251;103;52;511;471;149;64;2;33
1963;137;932;489;228;98;48;497;463;147;60;2;33
1964;141;944;475;246;105;47;488;488;150;61;2;33
1965;127;922;471;234;101;47;470;413;145;54;2;34
1966;135;926;485;213;105;52;477;454;144;60;2;34
1967;154;936;471;253;102;51;496;471;147;62;2;34
1968;130;937;492;246;102;46;502;493;140;55;2;34
1969;141;938;489;251;113;52;522;477;146;60;2;34
1970;155;958;467;258;102;56;533;493;151;67;2;34
1971;143;963;475;232;109;50;491;496;151;59;2;35
1972;131;972;481;229;107;47;485;447;148;62;2;35
1973;114;884;462;231;101;45;446;460;133;54;2;36
1974;157;922;483;260;102;49;508;494;133;61;2;36
1975;140;929;514;249;102;55;528;515;150;65;2;36
1976;148;949;477;234;103;55;521;482;147;59;2;36
1977;143;951;504;236;99;46;518;500;150;59;2;36
1978;137;954;517;230;113;50;497;462;156;64;2;36
1979;136;954;482;255;107;51;509;488;143;56;2;36
1980;166;958;497;262;107;55;533;514;145;61;2;36
1981;142;977;488;246;103;50;502;483;150;60;2;36
1982;175;994;502;254;109;53;530;521;157;68;2;36
1983;132;903;484;242;101;48;508;464;136;59;2;37
1984;152;929;502;227;95;47;508;532;139;60;2;37
1985;162;967;511;252;114;51;520;487;149;68;2;37
1986;125;969;473;241;115;51;457;434;148;56;2;37
1987;123;909;488;238;103;44;497;452;141;61;2;38
1988;141;947;507;234;111;56;482;483;161;66;2;38
1989;150;955;502;257;110;53;517;498;157;62;2;38
1990;145;959;495;236;103;50;493;458;148;64;2;38
1991;151;970;502;251;106;54;539;499;155;64;2;38
1992;140;980;496;245;111;51;492;488;156;58;2;38
1993;163;1004;481;258;112;53;550;491;171;66;2;38
1994;109;866;489;218;95;47;453;409;135;55;2;39
1995;106;899;466;235;95;47;434;444;140;60;2;39
1996;121;954;478;240;97;47;484;413;147;60;2;39
1997;142;958;500;250;107;51;510;480;140;58;2;39
1998;166;968;517;245;110;52;501;518;154;62;2;39
1999;152;971;497;251;107;53;505;499;160;63;2;39
2000;153;981;512;260;108;54;516;492;159;59;2;39
2001;159;987;489;268;116;55;526;488;158;66;2;39
2002;163;1011;514;259;110;52;533;515;150;62;2;39
2003;128;903;504;233;97;45;498;492;136;58;2;40
2004;132;937;485;246;101;50;505;495;143;59;2;40
2005;129;938;479;232;109;49;487;446;149;56;2;40
2006;131;945;485;239;103;50;498;451;144;61;2;40
2007;157;966;482;255;111;53;556;522;154;62;2;40
2008;159;975;506;265;105;58;540;494;150;64;2;40
2009;138;1018;485;228;115;51;498;446;152;56;2;40
2010;130;897;462;222;94;40;480;480;138;55;2;41
2011;142;918;503;255;107;50;513;508;138;57;2;41
2012;144;978;499;230;108;50;511;495;154;59;2;41
2013;156;985;499;258;102;51;556;547;151;64;2;41
2014;150;997;473;273;114;51;501;465;167;64;2;41
2015;167;1059;495;264;118;54;511;491;161;68;2;41
2016;136;947;464;226;104;52;497;472;147;65;2;42
2017;155;986;512;263;114;51;531;520;162;66;2;42
2018;177;1033;518;285;118;58;530;526;166;65;2;42
2019;181;1043;527;259;119;54;513;500;171;67;2;42
2020;133;927;489;241;94;46;528;470;140;60;2;43
2021;135;933;490;251;109;50;502;461;150;61;2;43
2022;129;943;488;238;105;48;475;430;150;64;2;43
2023;149;955;489;247;110;53;529;504;154;59;2;43
2024;146;968;473;254;102;52;489;446;149;62;2;43
2025;160;968;508;268;113;56;530;500;159;67;2;43
2026;132;987;499;238;112;52;478;461;160;64;2;43
2027;130;912;480;244;101;52;503;475;153;63;2;44
2028;137;974;500;217;104;49;495;489;151;57;2;44
2029;193;1043;503;275;118;58;550;556;165;67;2;44
2030;120;936;462;228;102;46;474;428;140;57;2;45
2031;137;963;485;245;105;54;498;465;145;57;2;45
2032;141;975;472;242;113;52;498;461;151;58;2;45
2033;160;1006;503;268;109;50;535;525;157;60;2;45
2034;165;1013;499;238;114;57;524;491;162;69;2;45
2035;149;1018;491;241;115;51;493;477;178;61;2;45
2036;155;1020;496;250;116;53;508;459;161;65;2;45
2037;161;1038;513;262;116;54;526;482;162;67;2;45
2038;175;1038;493;265;110;54;525;503;163;63;2;45
2039;146;955;501;260;109;47;542;530;156;57;2;46
2040;140;958;493;246;105;54;533;505;145;58;2;46
2041;146;968;498;252;111;52;527;514;153;61;2;46
2042;172;994;500;265;111;53;538;517;156;66;2;46
2043;165;997;489;253;116;51;532;491;163;61;2;46
2044;172;1018;498;272;123;55;548;518;165;68;2;46
2045;167;1044;486;280;115;56;532;478;163;66;2;46
2046;185;1047;489;280;120;55;539;498;167;71;2;46
2047;150;1050;508;258;127;57;528;490;175;64;2;46
2048;142;968;475;247;105;50;502;483;148;61;2;47
2049;151;975;481;262;112;50;532;506;142;61;2;47
2050;142;977;496;249;112;55;515;469;148;64;2;47
2051;151;988;496;239;114;54;496;491;151;61;2;47
2052;166;997;515;269;115;56;554;516;155;65;2;47
2053;159;1000;510;263;113;54;518;495;158;67;2;47
2054;160;1001;489;256;114;55;538;522;158;65;2;47
2055;152;1003;502;257;112;57;523;489;159;64;2;47
2056;144;1015;505;245;118;55;485;475;162;64;2;47
2057;151;1018;489;239;113;51;511;513;156;61;2;47
2058;163;1024;508;258;116;54;520;494;162;67;2;47
2059;174;1039;497;266;119;56;523;497;165;66;2;47
2060;158;1040;478;259;117;54;509;468;150;62;2;47
2061;170;1041;504;246;111;56;515;492;160;68;2;47
2062;187;1071;499;276;118;59;562;501;159;67;2;47
2063;190;1079;523;263;116;58;547;548;168;67;2;47
2064;206;1109;517;283;123;56;569;494;182;72;2;47
2065;144;958;490;252;111;52;495;477;152;65;2;48
2066;135;964;485;258;103;51;495;460;155;64;2;48
2067;155;978;497;249;107;53;508;468;153;60;2;48
2068;149;982;496;252;107;49;505;500;150;64;2;48
2069;140;1017;493;225;122;55;490;447;168;61;2;48
2070;154;1032;499;255;122;54;528;506;170;67;2;48
2071;162;1041;503;261;116;53;527;572;162;67;2;48
2072;146;1050;476;253;113;51;505;450;157;65;2;48
2073;195;1070;508;263;130;52;512;519;176;68;2;48
2074;179;1073;507;275;121;57;570;493;176;64;2;48
2075;194;1098;513;254;129;63;544;539;169;65;2;48
2076;155;957;480;258;103;50;532;473;153;64;2;49
2077;166;976;481;244;113;53;510;507;154;64;2;49
2078;159;995;500;249;115;51;511;460;159;66;2;49
2079;172;1036;482;261;109;53;530;500;165;63;2;49
2080;158;1037;516;267;112;49;501;495;160;60;2;49
2081;190;1048;510;277;108;58;588;555;161;68;2;49
2082;167;1066;489;252;125;58;511;500;170;63;2;49
2083;114;911;479;227;98;46;459;417;136;62;2;50
2084;145;1000;478;263;108;52;531;469;153;62;2;50
2085;178;1014;516;271;121;52;529;483;183;64;2;50
2086;159;1018;473;264;119;52;557;514;167;63;2;50
2087;172;1022;492;269;118;53;562;538;161;63;2;50
2088;155;1033;498;282;120;55;526;475;163;67;2;50
2089;182;1038;520;270;116;56;544;541;174;74;2;50
2090;162;1052;495;253;125;55;494;496;178;70;2;50
2091;168;1054;494;267;124;56;554;482;166;69;2;50
2092;185;1054;513;259;122;61;551;526;171;64;2;50
2093;178;1058;487;272;123;52;568;518;171;65;2;50
2094;188;1081;514;265;128;63;540;533;172;73;2;50
2095;172;1123;515;259;128;54;516;488;178;68;2;50
2096;137;957;493;256;106;45;505;496;142;60;2;51
2097;153;990;480;260;103;50;510;514;160;63;2;51
2098;182;1022;498;281;127;60;566;530;172;71;2;51
2099;165;1038;497;262;116;54;532;505;160;64;2;51
2100;192;1052;514;270;119;53;537;519;163;70;2;51
2101;174;1071;496;263;123;56;554;506;170;65;2;51
2102;197;1072;502;275;115;57;580;542;170;69;2;51
2103;180;1092;506;267;121;56;524;484;165;70;2;51
2104;130;957;497;216;114;51;490;468;158;62;2;52
2105;130;967;473;230;111;52;502;444;155;59;2;52
2106;161;985;495;276;111;54;507;494;155;67;2;52
2107;131;987;485;242;108;46;490;457;152;57;2;52
2108;150;1016;486;251;115;56;512;479;160;65;2;52
2109;162;1032;500;256;117;54;514;483;164;61;2;52
2110;174;1055;499;252;112;55;558;492;158;68;2;52
2111;188;1075;507;275;116;55;559;502;166;66;2;52
2112;150;989;508;257;104;48;537;516;152;62;2;53
2113;137;998;480;241;106;50;502;488;162;61;2;53
2114;162;1014;489;250;111;51;492;465;159;63;2;53
2115;160;1015;492;242;109;55;483;462;155;62;2;53
2116;185;1032;526;259;120;58;537;509;161;71;2;53
2117;207;1033;528;272;119;56;561;550;169;66;2;53
2118;188;1052;494;281;123;60;558;499;176;73;2;53
2119;160;1057;492;255;125;58;515;493;168;66;2;53
2120;163;1077;492;259;118;56;529;487;166;61;2;53
2121;230;1112;512;309;121;59;601;520;171;65;2;53
2122;154;1029;506;265;113;52;532;490;163;63;2;54
2123;165;1037;491;262;116;52;537;490;167;68;2;54
2124;188;1075;496;247;119;61;561;546;174;70;2;54
2125;188;1082;493;274;119;54;546;517;169;66;2;54
2126;140;996;488;227;116;51;495;495;159;57;2;55
2127;159;1012;492;241;108;56;519;505;154;59;2;55
2128;163;1028;504;261;108;55;521;481;153;61;2;55
2129;174;1042;489;257;117;57;542;522;163;64;2;55
2130;167;1058;488;258;124;59;551;483;176;69;2;55
2131;166;1071;511;273;117;51;532;519;168;62;2;55
2132;208;1075;508;274;122;56;603;567;176;70;2;55
2133;177;1086;506;264;128;53;515;494;181;64;2;55
2134;163;1088;475;269;129;52;503;482;168;65;2;55
2135;233;1166;517;291;132;63;587;526;197;77;2;55
2136;149;1012;480;257;118;57;500;459;162;61;2;56
2137;154;1017;496;255;111;52;531;487;161;64;2;56
2138;174;1018;525;277;113;57;570;508;150;66;2;56
2139;156;1040;514;258;117;51;522;484;167;60;2;56
2140;176;1055;508;273;111;50;545;518;162;66;2;56
2141;164;1059;494;237;124;55;527;483;172;70;2;56
2142;209;1071;512;291;127;53;597;547;173;66;2;56
2143;170;1090;505;258;120;53;515;481;166;59;2;56
2144;221;1115;529;281;127;60;575;531;178;70;2;56
2145;235;1131;541;281;133;62;591;581;182;72;2;56
2146;140;984;486;242;106;53;478;437;156;68;2;57
2147;167;1003;502;263;114;50;546;557;161;63;2;57
2148;153;1013;505;264;103;49;521;500;155;61;2;57
2149;162;1027;485;258;127;57;504;491;167;66;2;57
2150;178;1046;514;273;115;56;542;508;166;70;2;57
2151;161;1053;496;237;119;56;515;505;167;65;2;57
2152;166;1054;519;259;116;59;548;484;166;71;2;57
2153;176;1080;510;269;127;59;532;521;172;69;2;57
2154;206;1084;522;292;118;55;599;555;168;72;2;57
2155;173;1085;510;274;118;53;532;502;165;67;2;57
2156;184;1086;470;260;119;54;543;502;171;64;2;57
2157;178;1092;508;248;114;53;524;493;175;69;2;57
2158;214;1120;522;280;124;59;563;550;177;67;2;57
2159;207;1128;509;302;135;64;610;577;192;76;2;57
2160;157;982;506;253;110;50;523;517;156;61;2;58
2161;171;1017;471;271;110;55;557;482;151;64;2;58
2162;156;1025;488;258;105;52;512;468;157;62;2;58
2163;161;1032;501;253;113;50;522;457;154;63;2;58
2164;154;1045;482;248;106;49;501;462;158;65;2;58
2165;175;1050;471;254;127;58;541;527;168;73;2;58
2166;172;1059;501;253;118;58;528;508;164;60;2;58
2167;165;1094;499;263;121;55;560;521;177;67;2;58
2168;182;1108;517;270;117;54;561;505;172;63;2;58
2169;197;1126;505;272;136;58;537;518;184;74;2;58
2170;145;992;502;244;111;51;491;472;164;60;2;59
2171;171;1038;508;262;120;54;520;482;162;68;2;59
2172;148;1039;506;268;114;56;523;485;164;66;2;59
2173;162;1045;503;276;114;53;542;496;161;60;2;59
2174;170;1046;482;265;113;56;535;513;155;69;2;59
2175;196;1062;501;284;119;54;578;509;173;64;2;59
2176;188;1062;502;273;123;57;546;537;168;66;2;59
2177;147;1065;494;245;120;51;506;462;168;64;2;59
2178;170;1073;498;267;110;56;544;521;164;70;2;59
2179;191;1084;494;268;122;59;558;494;175;72;2;59
2180;175;1087;486;266;122;55;529;460;172;64;2;59
2181;182;1087;502;259;112;55;553;480;170;66;2;59
2182;210;1088;497;280;119;58;583;554;170;64;2;59
2183;188;1097;536;262;123;59;537;522;171;66;2;59
2184;173;1116;486;253;120;52;492;461;167;64;2;59
2185;161;1145;498;268;109;52;521;490;166;66;2;59
2186;154;992;488;262;117;53;539;470;155;68;2;60
2187;178;1069;479;272;126;59;541;529;169;69;2;60
2188;165;1074;510;263;127;55;522;510;171;61;2;60
2189;196;1083;518;277;119;56;572;553;174;64;2;60
2190;176;1087;498;274;113;52;514;522;173;67;2;60
2191;189;1104;508;272;125;57;558;511;166;67;2;60
2192;190;1114;518;280;126;55;580;546;184;69;2;60
2193;196;1116;507;285;123;58;533;502;178;63;2;60
2194;180;1176;543;276;129;56;558;502;181;65;2;60
2195;165;1025;492;268;109;51;549;484;158;69;2;61
2196;163;1034;499;253;108;51;516;468;158;68;2;61
2197;163;1050;515;258;116;48;534;518;165;66;2;61
2198;174;1069;496;262;120;55;530;499;167;67;2;61
2199;209;1097;506;279;115;57;560;531;169;69;2;61
2200;187;1100;529;277;126;54;561;532;176;67;2;61
2201;185;1122;504;269;119;61;543;493;173;70;2;61
2202;185;1129;492;269;127;55;542;457;182;71;2;61
2203;213;1144;502;289;130;56;558;521;178;67;2;61
2204;217;1149;512;293;122;56;575;531;175;69;2;61
2205;157;1013;495;267;118;51;560;496;159;64;2;62
2206;165;1048;476;250;119;54;514;463;171;64;2;62
2207;181;1052;485;274;115;54;563;512;163;65;2;62
2208;188;1100;524;284;123;56;563;535;172;65;2;62
2209;240;1119;519;303;120;56;595;581;170;71;2;62
2210;208;1122;512;262;123;55;574;569;176;64;2;62
2211;212;1138;516;297;130;57;585;535;183;71;2;62
2212;206;1144;512;284;129;54;584;542;180;72;2;62
2213;173;1031;466;269;120;55;523;535;160;69;2;63
2214;185;1053;492;271;128;57;556;509;178;69;2;63
2215;160;1057;490;254;116;53;499;476;166;65;2;63
2216;160;1070;490;257;119;53;543;457;156;61;2;63
2217;206;1080;522;288;120;55;590;541;175;69;2;63
2218;179;1082;520;268;124;56;567;522;164;65;2;63
2219;189;1106;512;253;125;55;542;529;171;65;2;63
2220;218;1141;514;297;124;62;584;555;187;70;2;63
2221;215;1155;497;280;129;61;609;535;180;71;2;63
2222;155;1008;497;262;114;53;528;488;162;67;2;64
2223;177;1075;493;249;122;57;522;508;167;69;2;64
2224;165;1080;487;260;119;55;509;494;164;66;2;64
2225;203;1082;500;281;118;58;588;588;175;69;2;64
2226;174;1090;508;277;124;56;562;512;172;66;2;64
2227;186;1096;516;266;133;60;556;511;180;72;2;64
2228;188;1114;476;274;120;61;550;480;179;69;2;64
2229;207;1121;519;284;113;59;583;529;175;66;2;64
2230;210;1145;510;283;127;61;555;509;178;66;2;64
2231;181;1149;513;255;125;57;514;501;176;69;2;64
2232;149;1009;517;250;104;48;527;484;153;62;2;65
2233;173;1079;503;257;120;56;527;489;170;65;2;65
2234;181;1089;482;278;119;54;551;515;164;62;2;65
2235;190;1103;491;287;118;53;576;520;163;71;2;65
2236;181;1108;489;277;122;54;548;468;168;61;2;65
2237;198;1138;510;271;122;52;540;521;169;66;2;65
2238;203;1163;501;276;125;59;576;542;182;75;2;65
2239;152;1018;494;245;108;52;518;491;148;67;2;66
2240;180;1087;517;272;120;59;532;503;162;73;2;66
2241;184;1108;508;274;131;54;565;532;172;68;2;66
2242;163;1110;486;331;114;57;516;452;157;64;2;66
2243;172;1131;490;261;127;56;537;480;173;67;2;66
2244;194;1164;529;296;125;59;553;507;175;69;2;66
2245;203;1166;500;283;126;57;553;532;180;69;2;66
2246;192;1079;493;267;115;54;570;512;161;66;2;67
2247;196;1114;493;276;125;56;582;509;169;71;2;67
2248;194;1145;500;277;125;56;540;487;173;65;2;67
2249;199;1148;517;258;126;56;589;512;178;67;2;67
2250;194;1165;514;280;125;57;606;508;180;72;2;67
2251;221;1202;532;288;138;70;566;546;187;71;2;67
2252;153;1033;496;248;116;56;516;482;157;63;2;68
2253;167;1058;482;254;126;56;554;508;171;60;2;68
2254;193;1102;486;261;131;57;535;509;181;70;2;68
2255;185;1107;498;263;117;54;529;528;168;68;2;68
2256;194;1114;538;278;126;54;573;517;174;72;2;68
2257;246;1115;527;299;128;65;617;560;179;79;2;68
2258;187;1120;498;284;119;54;570;528;177;68;2;68
2259;189;1127;505;271;121;58;553;524;170;67;2;68
2260;170;1133;492;270;122;55;555;501;170;74;2;68
2261;196;1159;519;279;133;59;592;519;180;67;2;68
2262;208;1161;484;267;121;60;542;509;175;68;2;68
2263;233;1176;508;280;134;59;601;589;182;69;2;68
2264;289;1287;521;294;142;66;640;594;204;79;2;68
2265;163;1079;495;248;118;51;554;454;167;65;2;69
2266;226;1110;491;292;124;61;610;580;177;73;2;69
2267;184;1114;493;268;130;57;560;484;171;62;2;69
2268;221;1129;525;292;130;62;586;567;181;75;2;69
2269;188;1138;502;272;128;60;566;514;176;71;2;69
2270;180;1141;489;279;123;58;568;514;170;67;2;69
2271;226;1154;525;276;124;61;582;570;177;72;2;69
2272;200;1155;500;283;121;60;579;491;168;71;2;69
2273;217;1168;504;284;130;59;589;543;185;71;2;69
2274;237;1202;509;294;140;62;590;547;182;68;2;69
2275;234;1213;511;285;122;60;593;534;181;69;2;69
2276;169;1077;511;256;118;55;528;470;163;63;2;70
2277;177;1094;483;253;115;54;511;488;172;58;2;70
2278;184;1108;489;270;117;54;552;498;173;73;2;70
2279;208;1110;517;277;121;56;572;550;176;66;2;70
2280;182;1134;494;273;123;53;562;510;163;62;2;70
2281;212;1146;497;275;128;63;580;531;171;71;2;70
2282;222;1161;508;307;125;59;574;569;180;72;2;70
2283;206;1180;511;282;128;59;581;516;190;67;2;70
2284;197;1133;485;278;125;63;573;512;168;73;2;71
2285;224;1151;527;293;132;60;572;517;173;72;2;71
2286;232;1154;499;291;129;61;595;587;179;70;2;71
2287;209;1159;521;276;119;57;543;553;182;69;2;71
2288;216;1168;499;290;119;62;552;525;186;77;2;71
2289;193;1173;508;278;140;61;565;505;182;69;2;71
2290;191;1174;519;263;125;56;534;451;185;67;2;71
2291;244;1231;527;293;135;62;617;591;195;72;2;71
2292;191;1109;498;270;122;55;556;515;173;66;2;72
2293;205;1112;489;277;121;55;556;520;180;71;2;72
2294;179;1129;498;272;120;57;536;471;180;71;2;72
2295;261;1133;498;318;133;59;641;622;184;70;2;72
2296;197;1177;509;270;125;57;549;514;189;76;2;72
2297;242;1239;507;299;140;58;610;539;194;71;2;72
2298;151;1047;507;257;110;55;534;460;154;67;2;73
2299;188;1130;485;275;121;55;552;536;167;65;2;73
2300;205;1135;503;275;127;59;562;537;178;71;2;73
2301;196;1136;488;282;126;58;552;495;183;68;2;73
2302;200;1143;485;269;121;57;543;497;179;75;2;73
2303;214;1165;527;292;127;59;578;518;188;71;2;73
2304;191;1172;515;291;131;57;574;505;178;70;2;73
2305;225;1188;489;288;139;64;615;534;190;73;2;73
2306;218;1189;512;264;134;65;574;509;186;77;2;73
2307;157;1044;495;245;113;53;489;455;163;60;2;74
2308;180;1101;504;264;121;54;544;509;179;67;2;74
2309;181;1110;493;278;120;55;526;492;179;70;2;74
2310;179;1127;506;257;125;52;525;506;167;65;2;74
2311;168;1130;480;260;123;58;503;489;175;65;2;74
2312;192;1144;498;289;125;53;573;508;184;66;2;74
2313;182;1173;491;258;126;55;558;489;174;59;2;74
2314;200;1179;483;293;134;58;562;508;188;68;2;74
2315;194;1180;505;270;130;60;540;500;183;65;2;74
2316;230;1193;512;300;134;60;577;548;178;69;2;74
2317;170;1076;493;278;117;54;574;486;172;72;2;75
2318;192;1092;490;272;128;55;554;506;179;67;2;75
2319;164;1105;508;257;124;55;510;459;177;66;2;75
2320;201;1113;503;280;123;61;563;537;169;70;2;75
2321;209;1114;515;272;117;53;589;550;170;66;2;75
2322;186;1140;515;276;123;55;551;500;169;67;2;75
2323;208;1142;496;281;125;62;598;504;186;73;2;75
2324;206;1150;508;268;121;56;573;515;177;72;2;75
2325;200;1152;504;284;124;63;563;526;178;75;2;75
2326;210;1154;507;282;116;61;567;551;175;70;2;75
2327;213;1186;520;284;130;60;611;542;180;68;2;75
2328;239;1215;529;293;128;59;650;586;190;74;2;75
2329;213;1217;528;281;133;61;601;510;185;76;2;75
2330;288;1230;527;320;130;61;671;634;200;73;2;75
2331;174;1114;488;260;120;56;526;467;162;68;2;76
2332;224;1165;527;280;133;63;620;520;185;73;2;76
2333;219;1184;495;286;125;59;581;527;186;68;2;76
2334;178;1186;496;265;121;56;523;471;181;68;2;76
2335;200;1195;510;264;140;61;559;510;198;70;2;76
2336;220;1208;530;282;133;59;591;547;185;69;2;76
2337;252;1221;505;310;126;60;611;556;189;67;2;76
2338;197;1115;512;291;123;61;588;533;173;70;2;77
2339;231;1137;499;284;123;59;583;534;174;76;2;77
2340;214;1147;521;286;131;65;576;539;188;76;2;77
2341;211;1147;530;263;116;53;608;553;180;67;2;77
2342;203;1156;491;276;132;59;559;503;183;74;2;77
2343;184;1168;514;274;129;62;560;480;180;67;2;77
2344;214;1170;526;268;129;59;558;534;179;71;2;77
2345;217;1192;515;289;134;61;591;533;185;76;2;77
2346;188;1063;477;264;120;53;529;489;166;63;2;78
2347;168;1122;487;248;127;55;547;453;171;69;2;78
2348;199;1138;525;274;135;58;524;489;187;67;2;78
2349;175;1138;511;265;127;56;561;511;178;66;2;78
2350;203;1159;526;271;137;62;571;524;195;80;2;78
2351;226;1168;511;288;129;61;605;532;183;72;2;78
2352;218;1170;482;291;127;56;587;555;177;61;2;78
2353;213;1178;522;277;132;60;568;536;180;71;2;78
2354;219;1187;503;281;125;61;579;497;175;71;2;78
2355;240;1212;518;294;129;63;632;554;183;76;2;78
2356;233;1220;522;297;133;61;600;536;195;76;2;78
2357;265;1236;532;302;141;66;614;594;199;79;2;78
2358;177;1091;488;263;118;52;544;527;168;68;2;79
2359;187;1104;502;274;120;56;586;498;171;68;2;79
2360;188;1105;502;256;127;58;570;524;175;68;2;79
2361;187;1137;475;269;124;59;562;482;179;70;2;79
2362;200;1171;489;293;132;59;539;519;178;72;2;79
2363;222;1198;504;284;132;63;570;519;177;71;2;79
2364;226;1199;503;288;134;56;591;575;180;67;2;79
2365;215;1206;507;291;122;52;582;508;191;69;2;79
2366;281;1292;524;298;150;62;608;558;202;83;2;79
2367;206;1149;507;295;119;61;572;520;174;70;2;80
2368;194;1150;503;282;132;59;576;515;181;74;2;80
2369;198;1168;496;277;131;61;533;477;191;74;2;80
2370;225;1169;509;288;119;57;617;560;166;74;2;80
2371;240;1187;507;294;135;59;591;599;191;75;2;80
2372;228;1208;502;298;121;61;632;549;181;70;2;80
2373;312;1214;522;326;150;59;667;634;202;72;2;80
2374;168;1107;504;270;119;56;540;464;170;67;2;81
2375;174;1114;480;267;127;58;513;478;181;65;2;81
2376;210;1147;511;294;133;60;560;533;196;73;2;81
2377;213;1176;512;288;125;54;585;555;182;69;2;81
2378;209;1182;530;278;125;63;574;533;187;69;2;81
2379;246;1182;505;327;125;57;598;587;181;69;2;81
2380;210;1216;490;287;134;62;569;483;191;74;2;81
2381;212;1225;486;274;137;61;568;504;195;72;2;81
2382;250;1234;531;307;135;61;630;554;198;82;2;81
2383;310;1235;511;334;131;58;701;681;201;72;2;81
2384;266;1267;507;335;140;59;635;582;204;71;2;81
2385;259;1268;494;316;138;67;632;574;206;77;2;81
2386;248;1279;497;302;150;61;575;540;204;74;2;81
2387;200;1137;519;282;134;60;571;504;187;73;2;82
2388;199;1154;487;273;126;57;547;478;178;71;2;82
2389;236;1180;507;303;134;64;588;557;187;75;2;82
2390;240;1180;521;318;130;65;621;566;184;81;2;82
2391;235;1228;510;307;144;66;622;556;190;81;2;82
2392;286;1240;538;319;133;62;643;609;195;74;2;82
2393;243;1241;519;302;139;62;597;563;200;79;2;82
2394;189;1156;523;270;127;55;575;490;166;71;2;83
2395;212;1173;497;276;123;59;577;509;186;70;2;83
2396;243;1182;527;295;126;59;610;547;182;72;2;83
2397;213;1195;508;286;127;58;582;505;175;75;2;83
