Number;Weight (N);Stature (mm);Head circumference (mm);Shoulder breadth (mm);Hand length (mm);Hand breadth (mm);Chest circumference (mm);Waist circumference (mm);Foot length (mm);Foot breadth (mm);Gender (1M, 2F);Age (months)
1536;507;1637;564;424;190;83;853;705;259;97;1;176
1537;516;1637;529;394;183;84;822;691;256;103;1;176
1538;715;1655;559;420;182;93;902;834;264;108;1;176
1539;552;1668;562;399;183;85;855;686;244;94;1;176
1540;543;1713;521;401;187;87;836;680;261;98;1;176
1541;715;1846;568;450;195;90;888;760;292;104;1;176
1542;380;1485;536;348;156;73;741;603;227;97;1;177
1543;390;1497;532;365;166;79;751;623;245;89;1;177
1544;401;1518;524;359;167;74;740;621;240;83;1;177
1545;373;1520;529;358;166;76;725;631;243;100;1;177
1546;448;1546;537;382;171;81;747;631;248;100;1;177
1547;392;1558;548;368;173;84;752;589;250;100;1;177
1548;503;1570;556;383;179;83;860;694;247;99;1;177
1549;451;1591;548;386;184;88;764;618;254;99;1;177
1550;530;1669;553;403;192;89;795;697;261;97;1;177
1551;573;1702;549;403;174;88;897;661;245;98;1;177
1552;691;1727;564;441;193;86;903;771;276;109;1;177
1553;571;1734;562;381;186;86;796;684;256;103;1;177
1554;812;1768;592;453;195;92;957;873;281;110;1;177
1555;405;1552;525;361;164;74;771;656;224;91;1;178
1556;587;1583;579;398;163;82;855;775;231;102;1;178
1557;490;1628;581;365;184;79;789;640;252;87;1;178
1558;510;1689;539;396;186;81;783;653;249;97;1;178
1559;594;1692;578;426;176;82;833;708;260;102;1;178
1560;655;1719;554;446;198;87;870;704;280;110;1;178
1561;695;1761;555;448;190;93;892;734;266;110;1;178
1562;745;1780;579;466;198;90;966;808;274;100;1;178
1563;506;1542;548;398;186;77;828;664;254;104;1;179
1564;475;1588;539;374;163;75;759;692;250;96;1;179
1565;474;1640;546;390;180;84;760;658;259;107;1;179
1566;607;1663;558;404;192;94;854;738;271;109;1;179
1567;599;1665;562;415;178;86;863;736;252;99;1;179
1568;723;1672;585;430;182;88;910;845;258;103;1;179
1569;628;1696;563;431;185;80;870;859;268;108;1;179
1570;671;1741;572;447;183;89;892;741;266;102;1;179
1571;712;1744;565;433;202;89;853;766;284;112;1;179
1572;548;1746;579;410;183;85;849;651;275;101;1;179
1573;620;1760;561;432;186;82;844;715;260;101;1;179
1574;754;1867;576;448;190;88;943;713;277;110;1;179
1575;567;1596;550;387;172;79;807;716;244;87;1;180
1576;517;1645;607;406;194;85;836;671;264;104;1;180
1577;533;1662;557;396;196;87;819;650;263;99;1;180
1578;543;1680;569;397;187;91;823;702;265;103;1;180
1579;641;1689;579;419;189;88;898;752;268;109;1;180
1580;854;1696;544;467;184;90;998;946;262;111;1;180
1581;674;1701;574;429;190;98;908;750;279;115;1;180
1582;643;1736;548;423;184;89;904;734;259;95;1;180
1583;618;1746;553;429;194;86;907;703;273;104;1;180
1584;588;1763;563;420;183;82;838;686;261;102;1;180
1585;645;1764;561;440;185;84;895;798;270;101;1;180
1586;603;1793;527;414;190;89;838;662;267;105;1;180
1587;521;1587;547;400;176;79;811;710;242;91;1;181
1588;506;1632;549;389;189;90;809;682;262;110;1;181
1589;796;1708;565;435;192;92;910;805;282;114;1;181
1590;637;1717;534;409;178;88;838;768;252;105;1;181
1591;499;1722;556;386;179;79;773;631;253;97;1;181
1592;583;1791;545;409;194;89;834;671;275;106;1;181
1593;515;1651;553;403;182;88;805;649;258;100;1;182
1594;576;1669;557;398;180;81;868;727;249;101;1;182
1595;556;1673;562;394;188;84;841;708;262;102;1;182
1596;621;1686;540;398;193;86;857;802;267;107;1;182
1597;618;1695;558;440;197;92;941;720;268;103;1;182
1598;557;1702;572;415;171;88;844;683;259;104;1;182
1599;601;1747;561;406;190;87;834;728;262;101;1;182
