INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182028720,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,757,,2018-04-17 16:33:00,2018,4,Tuesday,16,Part One,NEWTON ST,42.35687627,-71.16434675,"(42.35687627, -71.16434675)"
I182028713,613,Larceny,LARCENY SHOPLIFTING,D4,627,,2018-04-17 14:50:00,2018,4,Tuesday,14,Part One,BROOKLINE AVE,42.3451828,-71.10066932,"(42.34518280, -71.10066932)"
I182028709,617,Larceny,LARCENY THEFT FROM BUILDING,D4,624,,2018-04-14 22:00:00,2018,4,Saturday,22,Part One,LANSDOWNE ST,42.34717363,-71.0964439,"(42.34717363, -71.09644390)"
I182028701,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,436,,2018-04-17 15:29:55,2018,4,Tuesday,15,Part Two,WASHINGTON ST,42.28908473,-71.07122181,"(42.28908473, -71.07122181)"
I182028700,2629,Harassment,HARASSMENT,C11,348,,2018-04-02 18:00:00,2018,4,Monday,18,Part Two,DORCHESTER AVE,42.30559368,-71.05887861,"(42.30559368, -71.05887861)"
I182028699,423,Aggravated Assault,ASSAULT - AGGRAVATED,D4,130,,2018-04-17 15:01:00,2018,4,Tuesday,15,Part One,BOYLSTON ST,42.34980175,-71.07840978,"(42.34980175, -71.07840978)"
I182028697,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,591,,2018-04-12 17:30:00,2018,4,Thursday,17,Part Two,FENWAY,42.34598303,-71.09031847,"(42.34598303, -71.09031847)"
I182028695,619,Larceny,LARCENY ALL OTHERS,D4,143,,2018-04-15 13:30:00,2018,4,Sunday,13,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I182028683,617,Larceny,LARCENY THEFT FROM BUILDING,D4,625,,2018-04-17 14:50:00,2018,4,Tuesday,14,Part One,QUEENSBERRY ST,42.34314406,-71.09589305,"(42.34314406, -71.09589305)"
I182028680,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,362,,2018-04-17 14:08:00,2018,4,Tuesday,14,Part Two,WASHINGTON ST,42.29212974,-71.07175746,"(42.29212974, -71.07175746)"
I182028678,617,Larceny,LARCENY THEFT FROM BUILDING,B3,428,,2018-04-17 13:43:00,2018,4,Tuesday,13,Part One,MORTON ST,42.28329074,-71.08916307,"(42.28329074, -71.08916307)"
I182028652,615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,C11,339,,2018-04-17 13:33:00,2018,4,Tuesday,13,Part One,HANCOCK ST,42.30962068,-71.06006083,"(42.30962068, -71.06006083)"
I182028643,613,Larceny,LARCENY SHOPLIFTING,C6,186,,2018-04-17 12:25:00,2018,4,Tuesday,12,Part One,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)"
I182028640,617,Larceny,LARCENY THEFT FROM BUILDING,D4,273,,2018-04-17 13:05:00,2018,4,Tuesday,13,Part One,NORTHAMPTON ST,42.33665048,-71.07841035,"(42.33665048, -71.07841035)"
